seq_no,total_count,company_no,status,message
1,100,00000206,no_data,
2,100,00000238,no_data,
3,100,00000547,no_data,
4,100,00000589,no_data,
5,100,00000722,no_data,
6,100,00000954,no_data,
7,100,00001102,no_data,
8,100,00001118,no_data,
9,100,00001709,no_data,
10,100,00002171,no_data,
11,100,00002221,no_data,
12,100,00002263,success,
13,100,00002361,no_data,
14,100,00002480,no_data,
15,100,00002507,no_data,
16,100,00002849,no_data,
17,100,00002860,no_data,
18,100,00003251,no_data,
19,100,00003283,no_data,
20,100,00003312,no_data,
21,100,00003426,no_data,
22,100,00003474,no_data,
23,100,00003495,no_data,
24,100,00003740,no_data,
25,100,00003787,no_data,
26,100,00004017,no_data,
27,100,00004092,no_data,
28,100,00004131,no_data,
29,100,00004591,no_data,
30,100,00004620,no_data,
31,100,00004924,no_data,
32,100,00004966,no_data,
33,100,00005424,success,
34,100,00005521,no_data,
35,100,00005698,success,
36,100,00005753,no_data,
37,100,00006090,success,
38,100,00006514,no_data,
39,100,00006649,no_data,
40,100,00006916,no_data,
41,100,00007302,no_data,
42,100,00007577,no_data,
43,100,00008148,no_data,
44,100,00008273,no_data,
45,100,00008512,no_data,
46,100,00008549,no_data,
47,100,00008597,no_data,
48,100,00008626,no_data,
49,100,00008858,no_data,
50,100,00009097,no_data,
51,100,00009104,no_data,
52,100,00009239,success,
53,100,00009245,no_data,
54,100,00009272,no_data,
55,100,00009391,no_data,
56,100,00009651,no_data,
57,100,00009694,no_data,
58,100,00009982,no_data,
59,100,00010171,success,
60,100,00010279,no_data,
61,100,00010382,no_data,
62,100,00010502,no_data,
63,100,00010720,success,
64,100,00010812,no_data,
65,100,00010952,no_data,
66,100,00011122,no_data,
67,100,00011208,no_data,
68,100,00011241,success,
69,100,00011495,no_data,
70,100,00011571,no_data,
71,100,00011586,no_data,
72,100,00011755,no_data,
73,100,00011880,no_data,
74,100,00012104,no_data,
75,100,00012142,no_data,
76,100,00012277,no_data,
77,100,00012683,no_data,
78,100,00012950,no_data,
79,100,00013199,no_data,
80,100,00013466,no_data,
81,100,00013959,no_data,
82,100,00014057,no_data,
83,100,00014319,no_data,
84,100,00014726,no_data,
85,100,00014922,success,
86,100,00014958,no_data,
87,100,00015020,no_data,
88,100,00015295,no_data,
89,100,00015350,no_data,
90,100,00015464,no_data,
91,100,00015577,no_data,
92,100,00015627,no_data,
93,100,00015990,no_data,
94,100,00016013,no_data,
95,100,00016983,success,
96,100,00017836,no_data,
97,100,00017940,no_data,
98,100,00018027,no_data,
99,100,00018238,no_data,
100,100,00018259,no_data,
