統一編號,公司名稱,電話,進口資格,出口資格
00035975,,,,
00036524,,,,
00036566,富蒂斯科技有限公司,0989008669,有 YES,有 YES
00036876,,,,
00036881,,,,
00036952,,,,
00037050,老井福科餐飲股份有限公司,04-24180511,有 YES,有 YES
00037185,,,,
00037278,,,,
00037360,,,,
00037827,,,,
00037925,柏越投資有限公司,,有 YES,有 YES
00038065,,,,
00038305,,,,
00038396,,,,
00038522,,,,
00038558,,,,
00038591,,,,
00038889,,,,
00039120,,,,
00039297,,,,
00039521,,,,
00040246,,,,
00040301,,,,
00040463,,,,
00040695,,,,
00040787,,,,
00040908,,,,
00040941,,,,
00040956,台誠國際股份有限公司,,有 YES,有 YES
00040999,,,,
00041110,百興健康科技股份有限公司,,有 YES,有 YES
00041266,鍾鼎投資股份有限公司,0923715199,有 YES,有 YES
00041408,,,,
00041625,全境教育股份有限公司,,有 YES,有 YES
00041673,,,,
00041929,,,,
00041934,,,,
